movie_id,user_id,user_rating
357,138,4.0
709,92,2.0
412,301,4.0
56,60,4.0
895,197,3.0
325,601,4.0
95,710,3.0
92,833,2.0
425,916,5.0
271,940,2.0
355,611,1.0
712,707,3.0
825,699,3.0
240,16,4.0
1150,314,4.0
684,217,5.0
124,276,5.0
294,510,3.0
265,757,3.0
465,881,3.0
823,880,3.0
243,797,2.0
392,188,5.0
202,246,3.0
433,445,2.0
182,91,4.0
56,372,4.0
116,891,3.0
285,71,3.0
638,279,4.0
309,688,5.0
491,59,4.0
117,56,5.0
466,854,3.0
160,615,3.0
19,639,4.0
591,699,2.0
99,195,3.0
302,676,5.0
1028,279,4.0
124,634,3.0
125,505,3.0
7,617,3.0
98,666,4.0
794,416,5.0
927,655,3.0
248,293,3.0
136,350,5.0
339,404,1.0
96,28,5.0
268,428,4.0
248,733,3.0
275,354,4.0
628,486,3.0
179,409,5.0
240,582,4.0
200,253,4.0
516,354,5.0
1009,663,3.0
175,669,4.0
70,535,4.0
183,560,5.0
386,7,4.0
321,223,1.0
930,407,2.0
125,109,5.0
685,643,3.0
70,585,5.0
540,222,3.0
147,624,4.0
427,330,5.0
665,497,2.0
659,664,5.0
197,121,4.0
253,758,5.0
15,26,4.0
268,113,4.0
435,684,3.0
428,645,4.0
476,318,4.0
872,783,4.0
1265,440,5.0
180,194,3.0
23,76,5.0
13,62,4.0
471,943,5.0
211,545,3.0
124,663,3.0
297,139,5.0
222,435,3.0
67,417,4.0
43,290,3.0
252,939,3.0
286,820,4.0
724,297,3.0
273,442,4.0
31,303,3.0
245,832,3.0
596,330,5.0
1045,122,4.0
510,7,5.0
588,128,5.0
582,316,5.0
1016,144,3.0
233,773,1.0
269,116,3.0
79,653,4.0
117,674,5.0
208,653,3.0
744,139,5.0
432,844,5.0
1047,708,2.0
1473,655,3.0
746,940,3.0
984,255,1.0
211,296,4.0
763,336,3.0
88,749,4.0
269,147,4.0
205,10,5.0
354,215,4.0
1008,537,2.0
1010,561,3.0
91,303,5.0
558,886,3.0
954,568,2.0
268,204,3.0
761,586,3.0
278,654,3.0
827,899,2.0
875,836,1.0
672,268,2.0
82,871,3.0
222,677,4.0
988,603,4.0
50,290,5.0
152,41,4.0
744,158,4.0
89,271,3.0
281,269,1.0
880,708,3.0
866,717,1.0
333,85,1.0
742,320,4.0
436,290,2.0
354,551,3.0
512,561,4.0
229,343,4.0
614,311,4.0
728,389,3.0
173,450,5.0
62,671,5.0
235,761,3.0
369,246,3.0
661,263,5.0
895,618,3.0
121,363,2.0
604,25,4.0
530,405,1.0
258,499,2.0
684,506,5.0
654,305,4.0
340,589,1.0
403,805,4.0
195,308,5.0
268,920,3.0
258,247,5.0
282,655,3.0
9,291,5.0
191,625,3.0
149,354,5.0
932,471,5.0
334,309,4.0
215,751,4.0
172,556,5.0
28,771,5.0
646,666,3.0
121,94,2.0
219,814,4.0
619,699,2.0
356,664,3.0
458,733,2.0
99,693,3.0
288,787,1.0
566,661,4.0
323,502,4.0
259,30,4.0
331,616,4.0
9,390,5.0
566,94,2.0
1037,453,1.0
144,715,5.0
558,833,4.0
264,486,3.0
420,417,4.0
905,450,5.0
333,720,4.0
272,711,5.0
1049,181,1.0
597,386,3.0
661,496,3.0
1135,262,3.0
257,676,5.0
127,409,4.0
12,823,4.0
31,198,3.0
197,233,5.0
179,806,5.0
111,540,4.0
1087,731,1.0
3,472,5.0
25,274,5.0
98,850,1.0
1019,487,5.0
11,593,4.0
520,346,5.0
1222,896,2.0
132,514,4.0
1135,378,2.0
326,856,2.0
841,880,3.0
23,214,5.0
228,890,4.0
55,524,2.0
796,472,4.0
82,347,5.0
820,697,3.0
496,622,4.0
64,870,5.0
234,638,4.0
172,374,3.0
132,864,5.0
307,399,3.0
19,537,4.0
162,734,3.0
13,903,5.0
108,747,4.0
455,882,3.0
121,62,4.0
423,130,5.0
82,254,4.0
208,394,5.0
771,653,2.0
332,663,4.0
1395,206,1.0
1013,666,3.0
171,397,5.0
386,262,3.0
568,28,4.0
771,450,3.0
118,396,4.0
210,543,3.0
235,256,3.0
511,889,4.0
274,456,3.0
29,881,2.0
324,936,5.0
163,395,5.0
900,13,5.0
605,524,1.0
142,276,3.0
603,864,4.0
25,933,2.0
423,913,3.0
135,305,3.0
866,549,4.0
283,243,3.0
137,581,5.0
48,73,2.0
182,667,5.0
236,894,4.0
135,645,5.0
50,325,5.0
747,727,2.0
82,881,5.0
365,790,4.0
1217,682,3.0
192,641,4.0
159,303,3.0
380,378,3.0
8,679,2.0
200,881,2.0
269,790,3.0
21,307,4.0
550,562,4.0
1022,574,2.0
328,3,5.0
1197,411,4.0
946,340,5.0
591,733,3.0
505,716,4.0
216,504,4.0
33,805,5.0
222,501,4.0
479,326,5.0
504,31,5.0
201,268,3.0
100,792,4.0
502,406,1.0
86,565,5.0
928,234,2.0
77,664,3.0
135,387,5.0
98,228,3.0
73,541,4.0
22,110,4.0
1227,861,4.0
544,293,3.0
232,715,4.0
456,159,3.0
871,533,2.0
173,326,5.0
1139,417,3.0
135,1,4.0
662,871,3.0
230,766,3.0
862,653,2.0
281,548,4.0
462,338,4.0
28,389,4.0
32,567,5.0
4,466,3.0
251,286,5.0
321,488,3.0
829,119,5.0
233,506,4.0
527,643,3.0
241,354,3.0
92,450,4.0
695,221,4.0
318,468,5.0
184,216,4.0
287,303,4.0
546,94,3.0
237,917,5.0
210,600,4.0
623,234,2.0
159,372,5.0
930,546,5.0
494,870,3.0
288,463,1.0
1046,130,4.0
219,943,4.0
275,770,5.0
182,402,5.0
234,345,4.0
151,756,4.0
88,314,5.0
163,22,1.0
520,326,5.0
97,504,4.0
210,638,4.0
675,363,3.0
737,44,1.0
705,670,5.0
20,936,5.0
151,308,4.0
206,268,3.0
174,332,5.0
8,253,4.0
100,388,3.0
896,656,5.0
436,407,3.0
1315,599,4.0
257,223,4.0
511,10,4.0
222,738,4.0
432,406,5.0
90,659,2.0
739,346,3.0
380,807,4.0
100,891,5.0
310,119,5.0
514,488,2.0
458,548,3.0
879,90,3.0
473,363,4.0
521,929,5.0
928,650,2.0
428,660,4.0
73,59,4.0
216,315,4.0
473,348,3.0
282,910,3.0
813,192,4.0
1305,279,4.0
717,458,1.0
276,119,2.0
1520,314,3.0
214,222,4.0
195,660,4.0
704,524,4.0
1155,76,2.0
755,751,4.0
328,689,5.0
64,533,5.0
334,301,3.0
380,881,4.0
993,290,4.0
449,746,1.0
151,938,4.0
192,493,3.0
15,16,5.0
274,718,3.0
218,416,3.0
79,826,4.0
462,504,4.0
122,793,3.0
14,409,5.0
655,868,4.0
118,749,3.0
145,246,1.0
173,334,4.0
843,478,5.0
379,586,4.0
319,655,3.0
547,857,3.0
344,841,3.0
22,536,5.0
925,493,3.0
339,863,3.0
258,862,5.0
183,435,5.0
219,653,1.0
246,334,4.0
685,303,1.0
1048,796,2.0
1019,567,5.0
371,343,2.0
175,10,3.0
9,761,2.0
281,881,3.0
806,493,3.0
313,327,4.0
300,49,1.0
748,377,4.0
155,222,4.0
3,663,4.0
523,746,3.0
284,733,2.0
625,178,3.0
172,295,4.0
463,142,3.0
291,792,2.0
331,920,3.0
62,788,3.0
1047,68,1.0
22,286,4.0
1033,648,2.0
289,683,4.0
514,615,5.0
238,373,4.0
111,629,5.0
518,478,4.0
169,279,5.0
932,749,3.0
768,495,3.0
262,860,4.0
289,904,5.0
191,868,3.0
806,65,4.0
184,622,5.0
28,374,5.0
176,506,5.0
1277,328,3.0
432,437,3.0
984,181,1.0
258,448,4.0
114,711,5.0
135,10,5.0
307,509,2.0
1208,135,3.0
307,782,4.0
588,23,4.0
118,807,4.0
441,368,3.0
301,319,4.0
299,557,4.0
479,312,5.0
676,648,2.0
40,561,2.0
209,295,5.0
1074,790,3.0
193,778,4.0
1287,851,1.0
